{'192.168.1.4': '-67', '192.168.1.6': '-101', '192.168.1.21': '-93', 'location': 'Bedroom'}
{'192.168.1.4': '-80', '192.168.1.6': '-85', '192.168.1.21': '0', 'location': 'Bedroom'}
{'192.168.1.4': '-71', '192.168.1.6': '-75', '192.168.1.21': '0', 'location': 'Bedroom'}
{'192.168.1.4': '-70', '192.168.1.6': '-84', '192.168.1.21': '-80', 'location': 'Bedroom'}
{'192.168.1.4': '-70', '192.168.1.6': '0', '192.168.1.21': '-81', 'location': 'Bedroom'}
{'192.168.1.4': '0', '192.168.1.6': '-86', '192.168.1.21': '0', 'location': 'Bedroom'}
{'192.168.1.4': '0', '192.168.1.6': '-88', '192.168.1.21': '-93', 'location': 'Bedroom'}
{'192.168.1.4': '-82', '192.168.1.6': '0', '192.168.1.21': '-80', 'location': 'Bedroom'}
{'192.168.1.4': '-79', '192.168.1.6': '0', '192.168.1.21': '0', 'location': 'Bedroom'}
{'192.168.1.4': '-84', '192.168.1.6': '0', '192.168.1.21': '0', 'location': 'Bedroom'}
{'192.168.1.4': '-81', '192.168.1.6': '0', '192.168.1.21': '0', 'location': 'Bedroom'}
{'192.168.1.4': '-74', '192.168.1.6': '-87', '192.168.1.21': '-80', 'location': 'Bedroom'}
{'192.168.1.4': '-71', '192.168.1.6': '-86', '192.168.1.21': '-79', 'location': 'Bedroom'}
{'192.168.1.4': '-81', '192.168.1.6': '0', '192.168.1.21': '-90', 'location': 'Bedroom'}
{'192.168.1.4': '-80', '192.168.1.6': '-95', '192.168.1.21': '0', 'location': 'Bedroom'}
{'192.168.1.4': '-85', '192.168.1.6': '0', '192.168.1.21': '-81', 'location': 'Bedroom'}
{'192.168.1.4': '-82', '192.168.1.6': '-75', '192.168.1.21': '-90', 'location': 'Bedroom'}
{'192.168.1.4': '-82', '192.168.1.6': '-74', '192.168.1.21': '-80', 'location': 'Bedroom'}
{'192.168.1.4': '-67', '192.168.1.6': '-95', '192.168.1.21': '0', 'location': 'Bedroom'}
{'192.168.1.4': '-71', '192.168.1.6': '-96', '192.168.1.21': '-80', 'location': 'Bedroom'}
{'192.168.1.4': '0', '192.168.1.6': '-83', '192.168.1.21': '0', 'location': 'Bedroom'}
{'192.168.1.4': '-86', '192.168.1.6': '0', '192.168.1.21': '0', 'location': 'Bedroom'}
{'192.168.1.4': '-75', '192.168.1.6': '-92', '192.168.1.21': '0', 'location': 'Bedroom'}
{'192.168.1.4': '-86', '192.168.1.6': '0', '192.168.1.21': '0', 'location': 'Bedroom'}
{'192.168.1.4': '-90', '192.168.1.6': '-81', '192.168.1.21': '-83', 'location': 'Bedroom'}
{'192.168.1.4': '-74', '192.168.1.6': '-93', '192.168.1.21': '-83', 'location': 'Bedroom'}
{'192.168.1.4': '-78', '192.168.1.6': '-84', '192.168.1.21': '-82', 'location': 'Bedroom'}
{'192.168.1.4': '-75', '192.168.1.6': '0', '192.168.1.21': '-81', 'location': 'Bedroom'}
{'192.168.1.4': '-71', '192.168.1.6': '0', '192.168.1.21': '0', 'location': 'Bedroom'}
{'192.168.1.4': '-87', '192.168.1.6': '0', '192.168.1.21': '0', 'location': 'Bedroom'}
{'192.168.1.4': '-75', '192.168.1.6': '-86', '192.168.1.21': '-83', 'location': 'Kitchen'}
{'192.168.1.4': '-86', '192.168.1.6': '0', '192.168.1.21': '-72', 'location': 'Kitchen'}
{'192.168.1.4': '-88', '192.168.1.6': '-85', '192.168.1.21': '-73', 'location': 'Kitchen'}
{'192.168.1.4': '-86', '192.168.1.6': '0', '192.168.1.21': '-74', 'location': 'Kitchen'}
{'192.168.1.4': '0', '192.168.1.6': '-88', '192.168.1.21': '-81', 'location': 'Kitchen'}
{'192.168.1.4': '-75', '192.168.1.6': '-77', '192.168.1.21': '-82', 'location': 'Kitchen'}
